id,app_label,model
1,user_app,admin
2,user_app,user
3,user_app,moderator
4,admin,logentry
5,auth,permission
6,auth,group
7,auth,user
8,contenttypes,contenttype
9,sessions,session
10,Users,admin
11,Users,user
12,Users,moderator
13,Users,client
14,authtoken,token
15,authtoken,tokenproxy
16,Users,nonusertoken
17,core,article
